x__1,x__2,y
0.85,0.38,0
0.93,0.06,0
0.03,0.06,0
0.05,0.92,0
0.47,0.27,0
0.99,0.61,0
0.43,0.69,0
0.51,0.38,0
0.49,0.91,0
0.19,0.6,0
0.91,0.51,0
0.36,0.14,0
0.76,0.08,0
0.02,0.21,0
0.8,0.88,0
0.12,0.59,0
0.46,0.21,0
0.66,0.12,0
0.57,0.21,0
0.06,0.93,0
0.06,0.87,0
0.82,0.29,0
0.9,0.65,0
0.5,0.5,0
0.71,0.93,0
0.23,0.09,0
0.84,0.43,0
0.35,0.5,0
0.08,0.51,0
0.06,0.25,0
1.59,1.45,1
1.38,1.98,1
1.08,1.4,1
1.21,1.93,1
1.05,1.2,1
1.87,1.04,1
1.61,1.75,1
1.82,1.51,1
1.33,1.91,1
1.23,1.3,1
1.04,1.23,1
1.97,1.65,1
1.52,1.21,1
1.13,1.18,1
1.55,1.8,1
1.42,1.76,1
1.81,2,1
1.8,1.05,1
1.81,1.66,1
1.46,1.37,1
1.9,1.51,1
1.73,1.35,1
1.62,1.97,1
1.68,1.69,1
1.15,1.74,1
1.49,1.52,1
1.17,1.12,1
1.38,1.19,1
1.21,1.74,1
1.11,1.93,1
