code,name,industry
1301,極洋,水産・農林業
1332,日水,水産・農林業
1333,マルハニチロ,水産・農林業
1352,ホウスイ,卸売業
1376,カネコ種苗,水産・農林業
1377,サカタのタネ,水産・農林業
1379,ホクト,水産・農林業
1384,ホクリヨウ,水産・農林業
1414,ショーボンド,建設業
1417,ミライトＨＤ,建設業
1419,タマホーム,建設業
1420,サンヨーＨ,建設業
1430,ファーストコーポ,建設業
1435,インベスターズＣ,建設業
1514,住石ＨＤ,鉱業
1515,日鉄鉱,鉱業
1518,三井松島,鉱業
1605,国際帝石,鉱業
1606,海洋掘削,鉱業
1662,石油資源,鉱業
1663,Ｋ＆Ｏエナジー,鉱業
1712,ダイセキＳ,建設業
1719,安藤ハザマ,建設業
1720,東急建設,建設業
1721,コムシスＨＤ,建設業
1722,ＭＩＳＡＷＡ,建設業
1726,Ｂｒ．ＨＤ,建設業
1762,高松Ｇ,建設業
1766,東建コーポ,建設業
1768,ソネック,建設業
1780,ヤマウラ,建設業
1801,大成建,建設業
1802,大林組,建設業
1803,清水建,建設業
1805,飛島建,建設業
1808,長谷工,建設業
1810,松井建,建設業
1811,銭高組,建設業
1812,鹿島,建設業
1813,不動テトラ,建設業
1814,大末建,建設業
1815,鉄建建設,建設業
1820,西松建,建設業
1821,三住建設,建設業
1822,大豊建,建設業
1824,前田建,建設業
1826,佐田建,建設業
1827,ナカノフドー,建設業
1833,奥村組,建設業
1835,東鉄工,建設業
1847,イチケン,建設業
1852,浅沼組,建設業
1860,戸田建,建設業
1861,熊谷組,建設業
1865,青木あす,建設業
1866,北野建,建設業
1867,植木組,建設業
1868,三井ホーム,建設業
1870,矢作建,建設業
1871,ＰＳ三菱,建設業
1873,日本ハウスＨＤ,建設業
1878,大東建,建設業
1879,新日本建,建設業
1881,ＮＩＰＰＯ,建設業
1882,東亜道,建設業
1883,前田道,建設業
1884,日道路,建設業
1885,東亜建,建設業
1888,若築建,建設業
1890,東洋建,建設業
1893,五洋建,建設業
1896,大林道,建設業
1898,世紀東急,建設業
1899,福田組,建設業
1909,日本ドライケミカル,機械
1911,住友林,建設業
1914,日基礎,建設業
1916,日成ビルド,建設業
1919,ヤマダＳＸＬ,建設業
1921,巴,建設業
1924,パナホーム,建設業
1925,大和ハウス,建設業
1926,ライト工,建設業
1928,積水ハウス,建設業
1929,日特建,建設業
1930,北陸電工,建設業
1934,ユアテック,建設業
1937,西部電工,建設業
1939,四電工,建設業
1941,中電工,建設業
1942,関電工,建設業
1944,きんでん,建設業
1945,東京エネシス,建設業
1946,トーエネック,建設業
1949,住友電設,建設業
1950,日本電設,建設業
1951,協エクシオ,建設業
1952,新日空調,建設業
1954,日工営,サービス業
1956,ＮＤＳ,建設業
1959,九電工,建設業
1961,三機工,建設業
1963,日揮,建設業
1964,中外炉,建設業
1967,ヤマト,建設業
1968,太平電,建設業
1969,高砂熱,建設業
1972,三晃金,建設業
1973,ＮＥＳＩＣ,情報・通信業
1975,朝日工,建設業
1976,明星工業,建設業
1979,大気社,建設業
1980,ダイダン,建設業
1982,日比谷設,建設業
1983,東芝プラ,建設業
2001,日粉,食料品
2002,日清粉Ｇ,食料品
2003,日東富士,食料品
2004,昭和産,食料品
2009,鳥越粉,食料品
2053,中部飼料,食料品
2060,フィード・ワン,食料品
2107,洋糖,食料品
2108,甜菜糖,食料品
2109,三井製糖,食料品
2112,塩水糖,食料品
2117,日新製糖,食料品
2120,ＬＩＦＵＬＬ,サービス業
2124,ＪＡＣ,サービス業
2127,日本Ｍ＆Ａ,サービス業
2130,メンバーズ,サービス業
2139,中広,サービス業
2151,タケエイ,サービス業
2154,トラスト・テック,サービス業
2157,コシダカＨＤ,サービス業
2168,パソナ,サービス業
2169,ＣＤＳ,サービス業
2170,ＬＩＮＫ＆Ｍ,サービス業
2174,ＧＣＡ,サービス業
2175,ＳＭＳ,サービス業
2181,テンプＨＤ,サービス業
2183,リニカル,サービス業
2193,ＣＯＯＫＰＡＤ,サービス業
2196,エスクリ,サービス業
2198,アイ・ケイ・ケイ,サービス業
2201,森永菓,食料品
2204,中村屋,食料品
2206,グリコ,食料品
2207,名糖産,食料品
2211,不二家,食料品
2212,山崎パン,食料品
2215,第一パン,食料品
2217,モロゾフ,食料品
2220,亀田菓,食料品
2222,寿スピリッツ,食料品
2229,カルビー,食料品
2264,森永乳,食料品
2266,六甲バター,食料品
2267,ヤクルト,食料品
2269,明治ＨＤ,食料品
2270,雪印メグ,食料品
2281,プリマハム,食料品
2282,日ハム,食料品
2286,林兼産,食料品
2288,丸大食,食料品
2292,Ｓ　ＦＯＯＤＳ,食料品
2296,伊藤ハム米久ＨＤ,食料品
2301,学情,サービス業
2305,スタジオアリス,サービス業
2309,シミックＨＤ,サービス業
2317,システナ,情報・通信業
2325,ＮＪＳ,サービス業
2326,デジアーツ,情報・通信業
2327,ＮＳＳＯＬ,情報・通信業
2331,ＡＬＳＯＫ,サービス業
2335,キューブシステム,情報・通信業
2337,いちご,不動産業
2353,日駐,不動産業
2359,コア,情報・通信業
2371,カカクコム,サービス業
2372,アイロムＧ,サービス業
2374,セントケアＨＤ,サービス業
2376,サイネックス,サービス業
2378,ルネサンス,サービス業
2379,ディップ,サービス業
2384,ＳＢＳＨＤ,陸運業
2389,オプトホールディング,サービス業
2395,新日科学,サービス業
2398,ツクイ,サービス業
2410,キャリアＤＣ,サービス業
2413,エムスリー,サービス業
2418,ツカダグローバルＨＤ,サービス業
2424,ブラス,サービス業
2427,アウトソシング,サービス業
2428,ウェルネット,サービス業
2429,ワールドＨＤ,サービス業
2432,ディーエヌエー,サービス業
2433,博報堂ＤＹ,サービス業
2440,ぐるなび,サービス業
2445,ＳＲＧタカミヤ,サービス業
2453,ＪＢＲ,サービス業
2461,ファンコミ,サービス業
2462,ライク,サービス業
2464,ＢＢＴ,サービス業
2475,ＷＤＢ,サービス業
2485,ティア,サービス業
2487,ＣＤＧ,サービス業
2491,Ｖコマース,サービス業
2492,インフォマート,サービス業
2501,サッポロＨＤ,食料品
2502,アサヒ,食料品
2503,キリンＨＤ,食料品
2531,宝ＨＬＤ,食料品
2533,オエノンＨＤ,食料品
2540,養命酒,食料品
2579,コカ・コーラＢＪＩ,食料品
2587,サントリーＢＦ,食料品
2590,ＤｙＤｏ,食料品
2593,伊藤園,食料品
2594,キーコーヒー,食料品
2597,ユニカフェ,食料品
2599,ジャパンＦ,食料品
2602,日清オイリオ,食料品
2607,不二製油Ｇ,食料品
2612,かどや製油,食料品
2613,Ｊオイル,食料品
2651,ローソン,小売業
2659,サンエー,小売業
2664,カワチ薬品,小売業
2670,ＡＢＣマート,小売業
2674,ハードオフ,小売業
2676,高千穂交,卸売業
2678,アスクル,小売業
2681,ゲオＨＤ,小売業
2685,アダストリア,小売業
2686,ジーフット,小売業
2687,ＣＶＳベイ,小売業
2692,伊藤忠食,卸売業
2695,くら,小売業
2698,キャンドゥ,小売業
2715,エレマテック,卸売業
2726,パルグループＨＤ,小売業
2729,ＪＡＬＵＸ,卸売業
2730,エディオン,小売業
2733,あらた,卸売業
2734,サーラ,小売業
2735,ワッツ,小売業
2737,トーメンデバ,卸売業
2742,ハローズ,小売業
2749,ＪＰＨＤ,サービス業
2753,あみやき,小売業
2760,東エレデバ,卸売業
2764,ひらまつ,小売業
2767,フィールズ,卸売業
2768,双日,卸売業
2772,ゲンキー,小売業
2784,アルフレッサＨＤ,卸売業
2791,大黒天,小売業
2792,ハニーズＨＬＤ,小売業
2796,ファーマライズＨＤ,小売業
2801,キッコマン,食料品
2802,味の素,食料品
2809,キユーピー,食料品
2810,ハウス食Ｇ,食料品
2811,カゴメ,食料品
2812,焼津水,食料品
2815,アリアケ,食料品
2818,ピエトロ,食料品
2819,エバラ食品工業,食料品
2871,ニチレイ,食料品
2874,ヨコレイ,卸売業
2875,東洋水産,食料品
2882,イートアンド,食料品
2883,大冷,食料品
2884,ヨシムラ・Ｆ・ＨＤ,食料品
2897,日清食ＨＤ,食料品
2899,永谷園ＨＤ,食料品
2904,一正蒲鉾,食料品
2908,フジッコ,食料品
2910,ロックフィルド,食料品
2914,ＪＴ,食料品
2915,ケンコーマヨ,食料品
2918,わらべや,食料品
2922,なとり,食料品
2924,イフジ産業,食料品
2930,北の達人,食料品
2931,ユーグレナ,食料品
3001,片倉,繊維製品
3002,グンゼ,繊維製品
3003,ヒューリック,不動産業
3004,神栄,卸売業
3022,山下医,卸売業
3023,ラサ商事,卸売業
3028,アルペン,小売業
3031,ラクーン,卸売業
3034,クオール,小売業
3036,アルコニックス,卸売業
3038,神戸物産,卸売業
3046,ＪＩＮＳ,小売業
3048,ビックカメラ,小売業
3050,ＤＣＭ,小売業
3064,ＭＲＯ,小売業
3067,東京一番フーズ,小売業
3073,ダイヤモンドＤ,小売業
3076,あいＨＤ,卸売業
3079,ＤＶｘ,卸売業
3082,きちり,小売業
3085,ＡＬサービスＨＤ,小売業
3086,Ｊフロント,小売業
3087,ドトル日レス,小売業
3088,マツモトキヨシ,小売業
3091,ブロンコＢ,小売業
3092,スタートトゥ,小売業
3093,トレファク,小売業
3097,物語コーポ,小売業
3098,ココカラファイン,小売業
3099,ミツコシイセタン,小売業
3101,東洋紡,繊維製品
3103,ユニチカ,繊維製品
3104,富士紡ＨＤ,繊維製品
3105,日清紡ＨＤ,電気機器
3106,クラボウ,繊維製品
3107,ダイワボＨＤ,卸売業
3109,シキボウ,繊維製品
3110,日東紡,ガラス・土石製品
3116,トヨタ紡織,輸送用機器
3132,マクニカ富士エレＨＤ,卸売業
3134,Ｈａｍｅｅ,小売業
3141,ウエルシアＨＤ,小売業
3148,クリエイトＳＤＨ,小売業
3151,バイタルＫＳＫ,卸売業
3153,八洲電機,卸売業
3154,メディアスＨＤ,卸売業
3156,ＵＫＣＨＤ,卸売業
3159,丸善ＣＨＩ,小売業
3160,大光,卸売業
3166,ＯＣＨＩ・ＨＤ,卸売業
3167,ＴＯＫＡＩ　ＨＤ,卸売業
3169,ミサワ,小売業
3172,ティーライフ,小売業
3173,大阪工機,卸売業
3175,ＡＰカンパニー,小売業
3176,三洋貿易,卸売業
3178,チムニー,小売業
3179,シュッピン,小売業
3180,ビューティガレージ,卸売業
3183,ウイン・パートナーズ,卸売業
3186,ネクステージ,小売業
3191,ジョイフル本田,小売業
3193,鳥貴族,小売業
3194,キリン堂ＨＤ,小売業
3196,ホットランド,小売業
3197,すかいらーく,小売業
3199,綿半ホールディングス,小売業
3201,ニッケ,繊維製品
3202,ダイトウボウ,繊維製品
3204,トーア紡,繊維製品
3205,ダイドー,繊維製品
3221,ヨシックス,小売業
3222,Ｕ．Ｓ．Ｍ．Ｈ,小売業
3228,三栄建築,不動産業
3231,野村不ＨＤ,不動産業
3232,三重交通ＧＨＤ,不動産業
3244,サムティ,不動産業
3245,ディア・ライフ,不動産業
3250,ＡＤワークス,不動産業
3252,日本商業開発,不動産業
3254,プレサンス,不動産業
3258,ユニゾＨＤ,不動産業
3271,グロバル社,不動産業
3276,日本管理,不動産業
3277,サンセイランディック,不動産業
3280,エストラスト,不動産業
3284,フージャース,不動産業
3288,オープンハウス,不動産業
3289,東急不ＨＤ,不動産業
3291,飯田ＧＨＤ,不動産業
3299,ムゲンエステート,不動産業
3302,帝繊維,繊維製品
3313,ブックオフ,小売業
3315,日本コークス,石油・石炭製品
3319,ＧＤＯ,小売業
3321,ミタチ,卸売業
3328,ＢＥＥＮＯＳ,小売業
3333,あさひ,小売業
3341,日本調剤,小売業
3349,コスモス薬品,小売業
3360,シップＨＤ,卸売業
3361,トーエル,小売業
3366,一六堂,小売業
3371,ソフトクリエＨＤ,情報・通信業
3376,オンリー,小売業
3382,７＆ｉＨＤ,小売業
3385,薬王堂,小売業
3387,クリレスＨＤ,小売業
3388,明治電機,卸売業
3391,ツルハＨＤ,小売業
3392,デリカフーズ,卸売業
3393,スターティア,卸売業
3395,サンマルクＨＤ,小売業
3396,フェリシモ,小売業
3397,トリドールＨＤ,小売業
3401,帝人,繊維製品
3402,東レ,繊維製品
3405,クラレ,化学
3407,旭化成,化学
3408,サカイオーベ,繊維製品
3415,トウキョウベース,小売業
3421,稲葉製作,金属製品
3431,宮地エンジ,金属製品
3433,トーカロ,金属製品
3434,アルファＣｏ,金属製品
3436,ＳＵＭＣＯ,金属製品
3443,川田ＴＥＣＨ,金属製品
3445,ＲＳＴＥＣＨ,金属製品
3454,ファーストブラザーズ,不動産業
3457,ハウスドゥ,不動産業
3458,シーアールイー,不動産業
3465,ケイアイスター不動産,不動産業
3501,住江織物,繊維製品
3512,日フエルト,繊維製品
3513,イチカワ,繊維製品
3521,エコナックＨＤ,不動産業
3524,日東網,繊維製品
3526,芦森工,輸送用機器
3529,アツギ,繊維製品
3543,コメダ,卸売業
3544,サツドラＨＤ,小売業
3546,ダイユーリックＨＤ,小売業
3548,バロック,小売業
3549,クスリのアオキＨＤ,小売業
3551,ダイニック,繊維製品
3553,共和レザー,化学
3563,スシローＧＨＤ,小売業
3564,ＬＩＸＩＬビバ,小売業
3569,セーレン,繊維製品
3571,ソトー,繊維製品
3577,東海染工,繊維製品
3580,小松精練,繊維製品
3591,ワコールＨＤ,繊維製品
3593,ホギメディ,繊維製品
3606,レナウン,繊維製品
3607,クラウディア,繊維製品
3608,ＴＳＩ　ＨＤ,繊維製品
3626,ＴＩＳ,情報・通信業
3627,ネオス,情報・通信業
3630,電算システム,情報・通信業
3632,グリー,情報・通信業
3635,コーエーテクモ,情報・通信業
3636,三菱総研,情報・通信業
3639,ボルテージ,情報・通信業
3640,電算,情報・通信業
3648,ＡＧＳ,情報・通信業
3649,ファインデックス,情報・通信業
3654,ヒトコム,情報・通信業
3655,ブレインパッド,情報・通信業
3656,ＫＬａｂ,情報・通信業
3657,ポールＨＤ,情報・通信業
3658,イーブック,情報・通信業
3659,ネクソン,情報・通信業
3660,アイスタイル,情報・通信業
3661,エムアップ,情報・通信業
3662,エイチーム,情報・通信業
3666,テクノスジャパン,情報・通信業
3667,ｅｎｉｓｈ,情報・通信業
3668,コロプラ,情報・通信業
3669,モバクリ,情報・通信業
3672,オルトプラス,情報・通信業
3673,ブロドリーフ,情報・通信業
3676,ＨＵＧ,情報・通信業
3678,メディアドゥ,情報・通信業
3681,ブイキューブ,情報・通信業
3683,サイバーリンクス,情報・通信業
3686,ＤＬＥ,情報・通信業
3687,フィックスターズ,情報・通信業
3688,ＶＯＹＡＧＥ,情報・通信業
3694,オプティム,情報・通信業
3696,セレス,情報・通信業
3708,特種東海,パルプ・紙
3724,ベリサーブ,情報・通信業
3738,ティーガイア,情報・通信業
3751,ＪＡＧ,情報・通信業
